Scene,Speaker,Words
"Season 3, Episode 4, Scene 48",Angela,okay i don't think kevin should take his shoes off
"Season 3, Episode 4, Scene 49",Kevin,my feet do not smell angela knows that hyperhidrosis is a medically diagnosed condition
"Season 3, Episode 4, Scene 50",Michael,i found an exercise in toby's binder that he managed to miss that involves screening the part of you that says 'i don't wanna do that i don't wanna talk about that that is too private' here's how it works i'm going to throw you this ball
"Season 3, Episode 4, Scene 52",Pam,really wow i thought that was supposed to be like next month yeah i'd love to see them oh and tell them i say 'congratulations' i should probably head back in but umm thanks for the break
"Season 3, Episode 4, Scene 54",Pam,michael once told me that home alone is the saddest movie ever when i asked him why he said 'because the whole family forgets the kid at home there is nothing funny about that'
"Season 3, Episode 4, Scene 55",Michael,that's hold it hold it hold it start like right in there just dig okay give it to me you don't know what you're doing all right nothing let's just all right guys do you have a box we could use
"Season 3, Episode 4, Scene 55",Dwight,ow god
"Season 3, Episode 5, Scene 1",Dwight,brain teaser i have two coins totaling 15 cents and one of them is not a nickel what are they no i said one of them is not a nickel ok a man and his son get into a car accident they are rushed to the hospital the doctor says there is no way i can operate on this boy a man is found hanging from the ceiling a hunter damn it
"Season 3, Episode 5, Scene 2",Michael,uhhh nothing yeah nothing how was your day wow well ok i don't care how your day was either jan i was just asking you because you asked me why do you set me up like that i worked and then i went home to my condo and carol came over and then we had sex is that what you want to hear
"Season 3, Episode 5, Scene 3",Michael,never ever ever sleep with your boss i am so lucky that jan and i only got to second base
"Season 3, Episode 5, Scene 4",Pam,hi oh i don't know if i'm
"Season 3, Episode 5, Scene 5",Pam,it's weird jan use to treat michael like he was a ten year old but lately it's like he's five
"Season 3, Episode 5, Scene 6",Dwight,so you excited very excited extremely excited just very that's cool
"Season 3, Episode 5, Scene 8",Dwight,i am very excited ryan hasn't made a sale yet but more importantly he hasn't made an ally yet is he going to be a slacker-loser-wise-ass like jim was or is he going to join the dwight army of champions
"Season 3, Episode 5, Scene 9",Dwight,when you are ready to see the sales office the sales office will present itself to you your journey begins now
"Season 3, Episode 5, Scene 10",Jim,what is it no i didn't i took back my chair that you took from me but i didn't take your chair so i guess i can't get up
"Season 3, Episode 5, Scene 11",Michael,hey koselli the kos cosby hey hey hey i love jello pudding pops my son theo loves jello pudding pops too
"Season 3, Episode 5, Scene 12",Dwight,do you know where we are temp i hold in my hand a beet seed take it ah when damn it
"Season 3, Episode 5, Scene 13",Andy,hey big tuna can i talk to you for a second can you stand up and talk to me over there i'm acting my heart out here yeah really you asked for my help so i helped
"Season 3, Episode 5, Scene 13",Jim,sure
"Season 3, Episode 5, Scene 15",Pam,once a year they bring in a little cart and they give away free pretzels it's really not a big deal to some people it is
"Season 3, Episode 5, Scene 16",Michael,productivity is important but how can i be productive if i have this one little thing in my brain that i cannot get out and that one little thing is a soft pretzel so i'm just going to have my soft pretzel then i'll get to work and i'll be super productive look out for me
"Season 3, Episode 5, Scene 17",Michael,oh shhh come on
"Season 3, Episode 5, Scene 18",Dwight,and just as you have planted your seed in the ground i'm going to plant my seed in you smells pretty bad doesn't it it's called bull crap and a client can smell it from a mile away oh hey i forgot something in my car i'll be right back
"Season 3, Episode 5, Scene 20",Michael,uh huh hey hey hey phyllis what are you doing no i think you're cutting in line no i'm not going to settle down get in the back please boooooo thank you that's right
"Season 3, Episode 5, Scene 21",Dwight,congratulations resourceful salesman you have passed the second challenge welcome to schrute farm
"Season 3, Episode 5, Scene 22",Jim,love me love me say that you love me fool me fool me go on and fool me love me love me say that you love me fool me fool me go on and fool me love me love me say that you love me fool me fool me go on and fool me
"Season 3, Episode 5, Scene 23",Andy,i don't care 'bout anything but you what ever happened to those guys
"Season 3, Episode 5, Scene 24",Pam,michael great i thought you could use this time to authorize some checks hey why don't you just go up to your office get some work done and i'll just bring you a pretzel you know i just think it's really important that you be productive today
"Season 3, Episode 5, Scene 24",Michael,no cuts oh pam just the woman i'd like to see you read my mind i thought that maybe you could wait in line for me while i go to the bathroom you're an angel because i like them a certain way and if it gets screwed up then whole thing is blown pam productivity starts with patience and determination i'll be back
"Season 3, Episode 5, Scene 25",Dwight,it is time for your next test you have planted the beet seed you have walked the long lonely walk of loneliness you know what your problem is you know why you haven't made any sales cause you think you know everything you have to trust that maybe there are other people that can teach you things are you ready to learn are you ready for the final test come on
"Season 3, Episode 5, Scene 26",Michael,hi please tell me that you have a sweet pretzel left thank god is there anyway that you could do all all of them all right thank you
"Season 3, Episode 5, Scene 27",Dwight,please be seated pay no attention to the spirits that haunt this hallowed ground yes
"Season 3, Episode 5, Scene 28",Dwight,mose is my cousin and he lives here he will always be my best friend unless things go well with ryan today in which case i won't hang out with mose so much anymore
"Season 3, Episode 5, Scene 29",Dwight,what is the greatest danger facing dunder mifflin wrong flash floods what is the true cause of robert mifflin's suicide wrong he hated himself what is the dharma initiative
"Season 3, Episode 5, Scene 30",Angela,sales take a long time i'm sure dwight will protect him he's not weird he's just individualistic you're a freak
"Season 3, Episode 5, Scene 31",Dwight,final question young ryan howard what is michael scott's greatest fear wrong he's not afraid of anything also i would have accepted snakes fear is what it's all about you cannot sell while undergoing fear you need to vanquish fear one must wrestle fear to the ground you will now wrestle my cousin mose wrestle him to the ground ryan don't ryan you don't have to wrestle him just get in the coffin ryan where are all the animals
"Season 3, Episode 5, Scene 32",Dwight,ryan come on i am sorry i am sorry mose is sorry too look he sent over a basket with eggs and some fat back bacon and look something he whittled
"Season 3, Episode 5, Scene 33",Dwight,you still mad it's just jim and i didn't get along and i didn't want it to be that way again you know i wanted us to be a team an unstoppable team that competed against other teams screwgun the sales call
"Season 3, Episode 5, Scene 34",Kevin,hey hey
"Season 3, Episode 5, Scene 34",Michael,mr kosseli hey hey hey the cos what's going on do we have a deal deal or no deal let's make a deal so what is the deal
"Season 3, Episode 5, Scene 35",Dwight,establish time frames keep the phrase 'real dollars' in their head and always keep the power in the conversation that's why you're losing them on the cold calls cause you say the word please too much michael always said kiss keep it simple stupid great advice hurts my feelings every time
"Season 3, Episode 5, Scene 36",Dwight,good right uh huh exactly yes
"Season 3, Episode 5, Scene 37",Michael,oh hey everyone i am officially streamlining the efficiency of this corporation second yes second toby second i am insisting on increased accountability from every single one of you and i will be taking questions carmel dip but one question at a time please phyllis stanley i want you to switch desks i'm going to reorganize and restructure the physical layout of the office to maximize everything i think we're getting a lot done don't you on paper at least and we are after all a paper company are we not are we not are we not are you with me are you with me thank you very much
"Season 3, Episode 5, Scene 37",Kevin,account michael what is going on
"Season 3, Episode 5, Scene 37",Pam,did you have a lot of sugar today michael
"Season 3, Episode 5, Scene 38",Dwight,they did not they didn't have to say it to your face not everything's a lesson ryan sometimes you just fail it's those online paper jerks the whole business is changing you know what they're going to be screwed once this whole internet fad is over what are you doing oh no no no no ryan yes ryan the temp come on courtesy of dunder mifflin come on drive
"Season 3, Episode 5, Scene 39",Pam,dunder mifflin this is pam oh hi jan he's uh on a sales call no message bye jan
"Season 3, Episode 5, Scene 40",Dwight,temp temp temp temp ryan ryan ryan ryan yes just think that temp agency could have sent you anywhere
"Season 3, Episode 5, Scene 41",Kevin,night pam
"Season 3, Episode 5, Scene 41",Pam,night 20 past 5 pm these came for you contracts brent koselli this is a huge sale night michael dunder mifflin oh my god hi oh i had to work late jan's making me keep a log of everything michael does all day yeah totally so do you uh no i um everything's pretty much the same here a little different what time is it there oh yeah right i don't know it felt far what i type 90 it's true 70 how many do you type come on tell me you have to tell me now no it's that's respectable
"Season 3, Episode 5, Scene 41",Michael,hey what time is it am or pm oh good oh koselli with the jello yes right good goodnight
"Season 3, Episode 5, Scene 41",Jim,ah hey hi sorry i forgot kevin's extension it's a fantasy football thing and i was just going to go through the system cause i didn't think you'd be there why why are you still there wow do you think you could send me a copy of that so oh i'm sorry go ahead oh good what time is it here um we're in the same time zone how far away did you think we were yeah i have a question for you how many words per minute does the average person type shut up mavis beacon doesn't even type 90 ok i said average forget it i was just about to brag but forget it no 65 ok no need to laugh respectable
"Season 3, Episode 5, Scene 42",Pam,so ok i'm watching the movie by myself because i just wanted a relaxing evening at home and i'm freaking out that movie is so scary but i'm holding on because i keep waiting for sandra bullock to show up because i got it at blockbuster and they don't put the pictures on the box would i make that up oh yeah in my fancy new apartment i have one bedroom one bathroom and a closet i have one kitchen it's actually three kitchens hey ryan are you ok um ok bye no i was um you have to go no i should probably go too i mean yeah bye jim
"Season 3, Episode 5, Scene 42",Jim,right ok yeah i know no way how do you confuse 28 days with 28 days later no you're making this up yes fancy new beesley would make that up new apartment new stories and how many kitchens wow you got totally taken for a ride beesley most apartments these days have like three yes how are you going to cook every meal of the day in one kitchen pam pam oh yeah i should i should i should probably go too oh no no yeah uh well ok yeah bye pam
"Season 3, Episode 5, Scene 44",Michael,well that's really not the way i roll because sometimes i'm in the zone and sometimes i'm in the zoning out do you want me to go on amazon and order you a slang dictionary cause i'll do it yes big if a woman spurned
"Season 3, Episode 5, Scene 45",Pam,it's like mommy and daddy are fighting except mommy outranks daddy and mommy is way scarier
"Season 3, Episode 5, Scene 46",Dwight,take a good look at this boy because you are never going to see him again today is ryan's first sales call and i am bringing this boy home a full-grown man
"Season 3, Episode 5, Scene 46",Michael,i always do if you lay a finger would you look at that damn it dwight come on
"Season 3, Episode 5, Scene 47",Pam,dwight is taking ryan on a sales call today so if we find ryan's body in a heavily-wooded area tomorrow i owe jim $30 it's an old bet but a deal's a deal
"Season 3, Episode 5, Scene 48",Dwight,i once saw a movie called 'training day' it starred an african-american and ethan hawke in it the african-american trains ethan hawke with various tests and trials today ryan is ethan hawke and i am the african-american
"Season 3, Episode 5, Scene 49",Dwight,get in the car don't you realize the key is inside you
"Season 3, Episode 5, Scene 51",Dwight,no but seriously your ears are the key 90% of a good sales call is listening only 10% is talking get in the car get get in the car
"Season 3, Episode 5, Scene 52",Dwight,sales is not all in here it's also in here you know selling typing dialing what is that in your ear a tiny beet seed you need to clean your ears better
"Season 3, Episode 5, Scene 54",Michael,9:00 to 10:00 checked in with receptionist met with jan re: log lost log found log' '10:00 to 11:00 light salad three points' that's on the wrong page okay that sounds good yes actually today's a good day to do that
"Season 3, Episode 5, Scene 54",Pam,hey let's focus today make today all about focus i'll help you yeah
"Season 3, Episode 5, Scene 56",Dwight,sales is about people ryan about understanding them and learning how to get along with them case study: me to understand me you have to know that i work in the city but i live here on this small beautiful farm it's a family farm many schrutes were born here and many of us end up here my grandfather was a good man who did some very bad things what the damn it those kids you you get out of here this is not a cheap motel this is a farm and cemetery freaks you're lucky i don't have my crossbow let me show you the compost pile
"Season 3, Episode 5, Scene 57",Kevin,shoot
"Season 3, Episode 5, Scene 59",Michael,what makes them so good i mean they're just dough twisted up with some candy they taste so good in my mouth
"Season 3, Episode 5, Scene 60",Jim,see that's weird i saw the movie i just don't know every line from the film
"Season 3, Episode 5, Scene 60",Andy,yo mama ask me how bad i wanted to bone jennifer grey seriously you guys ask me let's just say me and jennifer grey probably would've broken a few laws
"Season 3, Episode 6, Scene 1",Michael,nice dress ryan ok
"Season 3, Episode 6, Scene 2",Michael,tonight one of our most ethnic co-workers kelly has invited us all to a diwali celebration put on by her community what is diwali you may ask well to have kelly explain it it's ada blah blah blah it's so super fun and it's going to be great lot of gods with unpronounceable names twenty minutes later you find out that is essentially a hindu halloween
"Season 3, Episode 6, Scene 3",Pam,really you do i love the material
"Season 3, Episode 6, Scene 3",Michael,how come you didn't get me one
"Season 3, Episode 6, Scene 4",Pam,i actually might not go feeling kind of tired oh i don't know i haven't decided yet
"Season 3, Episode 6, Scene 5",Pam,i just feel kind of tired you know maybe i just i don't really have anyone to go with
"Season 3, Episode 6, Scene 5",Dwight,maybe you've got mono yeah totally single hundred percent available
"Season 3, Episode 6, Scene 6",Kevin,are you guys going to this indian thing tonight oooh do you mean like is pam going
"Season 3, Episode 6, Scene 6",Angela,don't go they eat monkey brains
"Season 3, Episode 6, Scene 6",Michael,hey hey stop that that is offensive indians do not eat monkey brains and if they do sign me up because i am sure that they are very tasty and nutritional
"Season 3, Episode 6, Scene 7",Michael,it's important that this company celebrates its diversity and you know what stanley come kwanzaa time i have got you covered baby wha really you should it's fun
"Season 3, Episode 6, Scene 8",Michael,i love the people here and if there was one thing i di don't really care for is that they can be terribly terribly ignorant about other cultures and i don't want them embarrassing me in front of my girlfriend carol
"Season 3, Episode 6, Scene 9",Michael,diwali is a very important holiday for the hindus but frankly i'm a little appalled that none of you know very much about indian culture so without further ado kelly you are on kelly um why don't you tell us a little bit about the origins of the holiday all right all right all right all right this isn't 'lord of the rings'
"Season 3, Episode 6, Scene 9",Angela,how many gods do you have and that blue busty gal what's her story
"Season 3, Episode 6, Scene 9",Kevin,she looks like pam from the neck down
"Season 3, Episode 6, Scene 9",Dwight,pam wishes kelly i'll take this one diwali is a celebration of the coronation of the god-king rama after his epic battle with ravana the demon king of lanka it symbolizes the battle between good and evil
"Season 3, Episode 6, Scene 10",Jim,sorry
"Season 3, Episode 6, Scene 11",Jim,i started biking into work josh does it and he lives a lot farther away than i do and also it saves gas money keeps me in shape helps the environment and now i know it makes me really sweaty for work
"Season 3, Episode 6, Scene 12",Jim,thank you
"Season 3, Episode 6, Scene 13",Michael,now a lot of people say that kelly is one in a million and that's true but it's also not true because frankly there are literally billions of people just like kelly in the world here are some famous indians subrahmanyan chandrasekhar he is a nobel prize-winning physicist impressive apu from the simpsons hilarious indian m night shyamalan 'the village' 'unbreakable' 'sixth sense' 'sig ' okay spoiler alert just stop it what's the oh whoa where did that come from
"Season 3, Episode 6, Scene 13",Dwight,i see dead people he was dead the whole time
"Season 3, Episode 6, Scene 15",Andy,we have such a roller coaster thing karen and i roller-coastery friendship hot cold on again off again sexual tension filled type of deal it's very sam and diane from 'cheers'
"Season 3, Episode 6, Scene 15",Jim,scuse me wow yup
"Season 3, Episode 6, Scene 16",Michael,and another thing about the indian people they love sex positions i present to you the kama sutra i mean look at that who's seen that before thank you kevin well i find it beautiful no no you're not going to collect them no this is delightful charming culture
"Season 3, Episode 6, Scene 16",Kevin,this is the best meeting we've ever had
"Season 3, Episode 6, Scene 16",Angela,i find this incredibly offensive well whatever kelly wants to do in her own house is fine but we shouldn't all be subjected to it
"Season 3, Episode 6, Scene 17",Michael,my indian culture seminar was going great until toby decided that he was too immature to deal with culturally explicit images it's just sex people everybody does it i'm doing it with carol probably tonight
"Season 3, Episode 6, Scene 19",Jim,once a quarter the sales staff at this branch has to stay late to do order form consolidation which amazingly is even less interesting than it sounds
"Season 3, Episode 6, Scene 20",Andy,you guys ready to party i said are you ready to party
"Season 3, Episode 6, Scene 20",Jim,what's that
"Season 3, Episode 6, Scene 21",Angela,i wish some of us still had our shoes on
"Season 3, Episode 6, Scene 21",Kevin,stop it it's a disease i've told you
"Season 3, Episode 6, Scene 22",Michael,what does that look like to you no one's even going to notice hey kevin it's a costume why don't you just cool it okay carol carol
"Season 3, Episode 6, Scene 22",Kevin,nice outfit
"Season 3, Episode 6, Scene 23",Michael,i'll have one of those as well thank you very much now these are limes lemons onions
"Season 3, Episode 6, Scene 23",Angela,i'm a vegetarian what can i eat i'll just have some bread you used your hands
"Season 3, Episode 6, Scene 24",Michael,oh yuck no these s'mores are disgusting do you think they have any s'mores
"Season 3, Episode 6, Scene 25",Michael,all they are is chocolate graham cracker and marshmallow how difficult would that have been
"Season 3, Episode 6, Scene 27",Pam,very official
"Season 3, Episode 6, Scene 28",Pam,i decided to come uh i feel a little under-dressed but at least i'm not dressed like a slutty cheerleader right is that mean
"Season 3, Episode 6, Scene 29",Dwight,temp temp pflut pflut
"Season 3, Episode 6, Scene 31",Andy,hey big tuna you ready one two three shot oh that burns golly um
"Season 3, Episode 6, Scene 31",Jim,yep oh holy mother of god good
"Season 3, Episode 6, Scene 33",Michael,wow thirty years and you two only met once before the wedding night wow oh she's not a cheerleader she thought this was a costume party um no we're not married yet she is very fair and very kind so um tell me is your marriage the kind of thing where when you die she has to throw herself on a fire no okay it's still very cool ok thanks
"Season 3, Episode 6, Scene 34",Andy,one two three shot
"Season 3, Episode 6, Scene 34",Jim,oh
"Season 3, Episode 6, Scene 35",Michael,i'm going to be hi i'm just going to get this for a sec just a sec um everyone i'm sorry could i have your attention please thank you ah-hah hi sorry i just have an announcement to make um okay i have learned a lot about indian culture tonight but i have learned even more about love and i know you're all thinking 'who is this crazy gringo and what is he talking about' well i'm not crazy maybe i'm crazy in love so without further ado carol carol stills i would like you to do me the honor of making me your husband what do you say i didn't hear you oh you've got to be kidding me okay
"Season 3, Episode 6, Scene 36",Michael,no i get it i get it you're not ready we'll wait this is a classic yeah well but i i feel like i've known you many lifetimes maybe i'm hindu after all okay i'm not hindu but carol carol i just i feel like i just like you so much yes ok okay good night hey you know what why don't i come with you cause i've got this book called the kama sutra all right good night
"Season 3, Episode 6, Scene 38",Pam,can you believe my boss proposed to his girlfriend in public that is so michael yeah hey would you excuse me for a second
"Season 3, Episode 6, Scene 39",Pam,it's hot in there how's the naan i am you should come dance with us no one
"Season 3, Episode 6, Scene 39",Angela,dry you look like you were having fun i have to watch our shoes so they don't get stolen who were you texting
"Season 3, Episode 6, Scene 40",Andy,i went to the doctor i went to the mountains i looked to the children i looked to the children i drank from the fountain wait wait tuna are you kidding me
"Season 3, Episode 6, Scene 41",Michael,oh god oh wow that's so spicy oh you waiting for a call wow pam when carol said 'no' tonight i think i finally realized how you must be feeling we are both the victims of broken engagements i was in that marriage arena though yeah uuuuh well we're so alike so alike what are you doing i'm what i didn't can i have a ride home
"Season 3, Episode 6, Scene 41",Pam,here yeah uh no well you were never really engaged yeah i kind of thought something would happen tonight too what are you doing i'm rejecting your kiss if you sit in the back
"Season 3, Episode 6, Scene 42",Jim,can i have a ride man i uh i have my bike okay
"Season 3, Episode 6, Scene 42",Andy,no way dude i am not driving home i have brought an inflatable bed for just such occasions you're welcome to share it though it's a roomy twin
"Season 3, Episode 6, Scene 43",Jim,oh i'm a drunk driver man you can really hold your liquor billabelli no kidding and i am just going to lie down in the back if that's all right so good
"Season 3, Episode 6, Scene 44",Michael,these are not my shoes this is just like that show 'taxi cab confessions' sorry
"Season 3, Episode 6, Scene 44",Pam,you say one more word; i'm stopping the car
"Season 3, Episode 6, Scene 45",Michael,this is going out to indians everywhere it's a tribute to one of the greats mr adam sandler diwali is a festival of lights let me tell you something tonight has been one crazy night so put on your saris it's time to celebrate diwali everybody looks so jolly but it's not christmas it's diwali the goddess of destruction kali stopped by to celebrate diwali don't invite any zombies to a celebration of diwali along came polly to have some fun at diwali if you're indian and you love to party have a happy happy happy happy diwali happy diwali
"Season 3, Episode 6, Scene 46",Michael,how do i explain this to jan oh please stop talking three words or less an indian halloween okay great pam could you put jan on please hello jan well i was letting everybody go to the big diwali party what is diwali you don't know what diwali is wow jan i'm surprised it's the hindu festival of lights i just assumed you'd be familiar with it it's the most sacred and honored hindu holiday in the world it's like christmas easter and halloween--- ---rolled into one i bet you're not even aware that our own kelly kapoor who works in customer service is a hindu person and yeah you do oh i dunno about that for kelly that seems a bit much yeah you should see her naked
"Season 3, Episode 6, Scene 46",Pam,michael you're on with jan
"Season 3, Episode 6, Scene 47",Michael,i had promised carol a romantic evening on the town um i wanted to take her on this spooky hay ride thing but it was like seventy dollars a person and she's allergic to hay so i said 'pop a claritin and i will spot you the seventy bucks' and she's like 'i don't like to borrow money or take unnecessary medication' and i'm like 'well you're really not gonna like what i slipped in your drink last night' and she's like 'what the hell are you talking about' and i'm like 'i'm kidding i didn't put a roof' we laughed so hard it was hilarious oh so yes i'm very excited about the diwali party
"Season 3, Episode 6, Scene 48",Kevin,for diwali 07 you must consider scrantonicity for a fraction of the cost of this dj you could have the rocking sound stylings of a police cover band no okay well let me send you a demo and better yet i'll give kelly the demo and she can give it to you it'll save us both on postage excellent
"Season 3, Episode 6, Scene 49",Dwight,does michael talk about he does what does he say
"Season 3, Episode 6, Scene 50",Andy,at cornell in my fraternity my house name was 'hubble' because i was so good at finding a party i was like a powerful space telescope so freshman year when my skin was still really bad they called me el guapo
"Season 3, Episode 6, Scene 51",Andy,yeah big tuna tuna didn't see that coming
"Season 3, Episode 6, Scene 51",Jim,nope i got eel
"Season 3, Episode 6, Scene 52",Michael,and perhaps the most important person to indian culture sir ben kingsley because of him the british left india and then he became an actor like ronald reagan yeah so any questions
"Season 3, Episode 6, Scene 52",Pam,michael your shirt is buttoned wrong
"Season 3, Episode 7, Scene 1",Jim,hey oh umm kinda hard to explain
"Season 3, Episode 7, Scene 2",Jim,i don't have a ton of contact with the scranton branch but before i left i took a box of dwight's stationery so from time to time i send dwight faxes from himself from the future 'dwight at 8 am today someone poisons the coffee do not drink the coffee more instructions will follow cordially future dwight'
"Season 3, Episode 7, Scene 3",Dwight,no you'll thank me later
"Season 3, Episode 7, Scene 4",Michael,there she is - jan levinson first thing in the morning love to start my morning with a hearty bowl of jan just call me levinson in the morning baby yes i don't understand on whom's authority what you're welcome am i a small number person or a severance package person oh oh my god oh my god i don't really get it 'cause we're not doing that bad and our numbers are gonna come up well oh you gotta be josh oh really what role is that king of the stupid universe
"Season 3, Episode 7, Scene 5",Michael,it is an outrage that's all it's hey're making a huge huge mistake let's see josh replace these people let's see josh find another stanley you think stanleys grow on trees well they don't there is no stanley tree do you think the world is crawling with phyllises show me that farm with phyllises and kevins sprouting up all over the place ripe for the plucking show me that farm
"Season 3, Episode 7, Scene 6",Michael,pictures memories look at that they grow up so fast
"Season 3, Episode 7, Scene 7",Dwight,hey stranger sorry i just feel like we haven't talked in awhile
"Season 3, Episode 7, Scene 7",Michael,don't say that that just sounds weird please well we have nothin to talk about dwight just do your work while you still can
"Season 3, Episode 7, Scene 8",Dwight ,when you become close with someone you develop a kind of sixth sense you can read their moods like a book and right now the title of michael's book is 'something weird is going on' colon 'what did jan say the michael scott story by michael scott with dwight schrute'
"Season 3, Episode 7, Scene 9",Jim,really wow that's bad well i work here now
"Season 3, Episode 7, Scene 9",Andy,um sorry the scranton branch is closing in your face mmmm suck-ah
"Season 3, Episode 7, Scene 10",Pam,are you okay what did jan want what can't you tell me what you just said that we're gonna be gone michael what's going on
"Season 3, Episode 7, Scene 10",Michael,yeah great amazing best physical condition of my life nothing just checking in i can't tell you so nothing pam what difference does it make we'll be gone in a couple of weeks anyway what do i have any messages ok ok
"Season 3, Episode 7, Scene 11",Michael,listen up everybody i have some news we are screwed dunder-mifflin scranton is being shut down you knew about this all along didn't you traitor you are a traitor i don't know probably not this is the worst
"Season 3, Episode 7, Scene 11",Angela,what about us michael do we still have jobs
"Season 3, Episode 7, Scene 13",Angela,i don't want to blame anyone in particular i think everyone's to blame
"Season 3, Episode 7, Scene 15",Andy,stamford connecticut stamford connecticut
"Season 3, Episode 7, Scene 16",Jim,i worked in scranton for a really long time and uh it's going to be weird that it's all disappearing i mean i always knew that the branch would shut down someday i just figured it would be because michael sold the building for some magic beans
"Season 3, Episode 7, Scene 18",Pam,it's a blessing in disguise actually not even in disguise sometimes at home i answer the phone 'dunder-mifflin this is pam' so maybe that'll stop now
"Season 3, Episode 7, Scene 19",Kevin,well some of us are fired and a few are going to connecticut
"Season 3, Episode 7, Scene 21",Michael,darryl noble darryl i know i know well i'll land on my feet don't worry about me so you'll be okay too you're a warrior you're smart capable you'll find something else and awesome
"Season 3, Episode 7, Scene 22",Michael,this is my house the cfo is taking away my house and giving it to josh and josh is giving the garage to bob vance
"Season 3, Episode 7, Scene 23",Michael,all right listen up some of you may have heard some rumors about the branch closing but i am not going to take this lying down i have a plan and i am going to save our jobs so just hang in there let's go yes this might get ugly i need backup
"Season 3, Episode 7, Scene 23",Dwight,yes
"Season 3, Episode 7, Scene 23",Pam,oh good you're bringing dwight
"Season 3, Episode 7, Scene 24",Dwight,what's the plan can i drive shotgun still
"Season 3, Episode 7, Scene 24",Michael,go to new york confront the cfo show him he's making a mistake save the branch no way no there's no one else
"Season 3, Episode 7, Scene 25",Dwight,thank you very much okay secretary says wallace is away for the day and won't be coming back into the office but do not worry i have his home address right here christmas card list but when i do we'll have something to talk about
"Season 3, Episode 7, Scene 25",Michael,okay okay um why you sent him cards you never met him
"Season 3, Episode 7, Scene 26",Jim,hey do you have a second i know it's not definite or whatever but uh do you know who's coming over here from scranton okay so is it like sales or accountants what does that mean
"Season 3, Episode 7, Scene 30",Michael,okay this is it this is exactly what michael moore does famous documentarian he goes up to people with a camera and he's like 'why did you do this why did you pollute you are bad you're a bad person' it's very dramatic although i can't say i was a big fan of 'bowling for columbine' because i thought it was going to be a bowling movie like 'kingpin' and it wasn't it was something else
"Season 3, Episode 7, Scene 31",Jim,say what you will about michael scott but he would never do that
"Season 3, Episode 7, Scene 32",Dwight,so do you know what you're gonna say when he shows up no bad idea you need an attack plan here i'll be him you be you let's practice dum dum dum dum coming home from work yes what is the meaning of this well the branch is no longer finicially viable it's simple dollars and cents listen scott we're losing money okay it's not a charity; it's a business and it's a dying business whoa hey why not okay dum dum dum du doy du do coming home from work uh
"Season 3, Episode 7, Scene 32",Michael,i will improvise i will speak from the heart all right yes but these are employees sir these are human beings stop stop it just okay he's not going to say any of that because he'd be intimidated and i just let's start again just be more scared of me okay don't touch me this time excuse me mr wallace
"Season 3, Episode 7, Scene 32",Michael ,can you tell us why you are shutting down scranton and putting 15 people out of work
"Season 3, Episode 7, Scene 33",Jim,wow thank you no it's just i'm not sure if i um well to be quite honest with you jan i have a few unpleasant memories of scranton and um no no no just um some personal stuff and i'm not really ready to revist that i don't think okay
"Season 3, Episode 7, Scene 34",Kevin,where are we going how about cugino's how 'bout cooper's then but i don't want to go to dj's hooters
"Season 3, Episode 7, Scene 34",Angela,i don't want to go all the way to dunmore no seafood oh now all of a sudden you get picky no
"Season 3, Episode 7, Scene 35",Dwight,ah here replinish your fluids
"Season 3, Episode 7, Scene 36",Pam,he's not here i don't know where he is
"Season 3, Episode 7, Scene 37",Angela,yes
"Season 3, Episode 7, Scene 37",Kevin,yes
"Season 3, Episode 7, Scene 39",Pam,is it because of michael did he actually do something sure uh jan um do you know is anyone coming back to scranton coming to scranton is anyone coming to scranton
"Season 3, Episode 7, Scene 40",Dwight,who is it gonna get it
"Season 3, Episode 7, Scene 40",Michael,the office no not until i have some good news for them not until i have some good news
"Season 3, Episode 7, Scene 41",Pam,i guess some new people might be coming from stamford should be fun new blood that's um i hadn't thought about it huh yeah that might be weird overall though we still all have our jobs so good news right
"Season 3, Episode 7, Scene 42",Jim,i really don't know how you doing with all this you'd actually move to scranton new york city is 45 minutes down the road from here and you wanna move to scranton i dunno if i were you i'd move to new york
"Season 3, Episode 7, Scene 43",Andy,what's up josh thanks man you too totally
"Season 3, Episode 7, Scene 44",Michael,anything what if this doesn't work what is the office actually goes under all right favorite moments in dunder-mifflin history go that was hilarious the foam oh right okay that's enough that's good oh hmm all of them i loved them all every single one god dwight
"Season 3, Episode 7, Scene 44",Dwight,nothing then it was an honor to have worked with you my first day when you hazed me by spraying me with a fire extinguisher uh my first sale my promotion to assistant regional manager our basketball game when you took me to the hospital and told me that you cared about me what were your favorite moments what about when jan said the branch was closing well it doesn't
"Season 3, Episode 7, Scene 45",Kevin,hey pam we're going to poor richards creed's buying shots all right cool hey ryan you coming awesome let's go phyllis
"Season 3, Episode 7, Scene 45",Pam,no thanks guys have fun though really where did you hear that okay
"Season 3, Episode 7, Scene 46",Pam,yeah yeah me too
"Season 3, Episode 7, Scene 47",Pam,maybe this is good finding another job is a pain there's another annoying boss another desk i'd have to learn everything all over again so there are reasons to stay
"Season 3, Episode 7, Scene 48",Jim,hey um i think i am gonna take that job and scranton it's not that bad so if they offer you a job there i think you should take it okay
"Season 3, Episode 7, Scene 50",Michael,what are we still doing here it's over let's go home get the car oh this was such a stupid idea this was so stupid i am such a stupid idiot i let everybody down everybody hates me i lost everybody's jobs nobody likes me anymore what we did it we did it right here right here yeah baby we did it how did we do it i don't understand
